CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
IZ,417,ARKIA  ISRAELI  AIRLINES,2025-07-03T18:10:00,2025-07-03T18:10:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,49-55,B,ON TIME,בזמן
EK,2470,EMIRATES,2025-07-03T18:15:00,2025-07-03T18:15:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1125,FLYDUBAI,2025-07-03T18:15:00,2025-07-03T18:15:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
6H,560,ISRAIR AIRLINES,2025-07-03T18:15:00,2025-07-03T18:15:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
6H,703,ISRAIR AIRLINES,2025-07-03T18:15:00,2025-07-03T18:15:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,G1-G8,G,ON TIME,בזמן
6H,711,ISRAIR AIRLINES,2025-07-03T18:15:00,2025-07-03T18:15:00,D,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,G1-G8,G,ON TIME,בזמן
BZ,757,BLUE BIRD AIRWAYS,2025-07-03T18:25:00,2025-07-03T18:25:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,387,EL AL ISRAEL AIRLINES,2025-07-03T18:30:00,2025-07-03T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
SK,3183,SAS,2025-07-03T18:30:00,2025-07-03T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
TP,8912,AIR PORTUGAL,2025-07-03T18:30:00,2025-07-03T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
TP,8938,AIR PORTUGAL,2025-07-03T18:30:00,2025-07-03T18:30:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,78-99,D,ON TIME,בזמן
LY,5468,EL AL ISRAEL AIRLINES,2025-07-03T18:35:00,2025-07-03T18:35:00,A,TIV,TIVAT,טיבאת,TIVAT,מונטנגרו,MONTENEGRO,3,,,NOT FINAL,לא סופי
LY,571,EL AL ISRAEL AIRLINES,2025-07-03T18:35:00,2025-07-03T18:35:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,78-99,D,ON TIME,בזמן
IZ,272,ARKIA  ISRAELI  AIRLINES,2025-07-03T18:40:00,2025-07-03T18:40:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
6H,531,ISRAIR AIRLINES,2025-07-03T18:40:00,2025-07-03T18:40:00,D,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,G1-G8,G,ON TIME,בזמן
IZ,093,ARKIA  ISRAELI  AIRLINES,2025-07-03T19:10:00,2025-07-03T19:10:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,49-55,B,ON TIME,בזמן
LY,5142,EL AL ISRAEL AIRLINES,2025-07-03T19:15:00,2025-07-03T19:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
WZ,4311,RED WINGS AIRLINES,2025-07-03T19:15:00,2025-07-03T19:15:00,A,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
IZ,822,ARKIA  ISRAELI  AIRLINES,2025-07-03T19:20:00,2025-07-03T19:20:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
LY,5116,EL AL ISRAEL AIRLINES,2025-07-03T19:20:00,2025-07-03T19:20:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
BZ,758,BLUE BIRD AIRWAYS,2025-07-03T19:25:00,2025-07-03T19:25:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,29-33,A,ON TIME,בזמן
LY,5216,EL AL ISRAEL AIRLINES,2025-07-03T19:25:00,2025-07-03T19:25:00,A,EFL,KEFALLINIA,קפלוניה,KEFALONIA,יוון,GREECE,3,,,NOT FINAL,לא סופי
6H,730,ISRAIR AIRLINES,2025-07-03T19:25:00,2025-07-03T19:25:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
LY,5195,EL AL ISRAEL AIRLINES,2025-07-03T19:30:00,2025-07-03T19:30:00,D,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,3,78-99,D,ON TIME,בזמן
LY,543,EL AL ISRAEL AIRLINES,2025-07-03T19:30:00,2025-07-03T19:30:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,78-99,D,ON TIME,בזמן
LY,5484,EL AL ISRAEL AIRLINES,2025-07-03T19:35:00,2025-07-03T19:35:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3,,,NOT FINAL,לא סופי
6H,891,ISRAIR AIRLINES,2025-07-03T19:40:00,2025-07-03T19:40:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,G1-G10,G,ON TIME,בזמן
EK,2471,EMIRATES,2025-07-03T19:45:00,2025-07-03T19:45:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
FZ,1126,FLYDUBAI,2025-07-03T19:45:00,2025-07-03T19:45:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,56-59,C,ON TIME,בזמן
6H,888,ISRAIR AIRLINES,2025-07-03T19:50:00,2025-07-03T19:50:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
B6,6464,JETBLUE AIRWAYS CORPORATION,2025-07-03T19:55:00,2025-07-03T19:55:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
DL,7445,DELTA AIRLINES,2025-07-03T19:55:00,2025-07-03T19:55:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,106,EL AL ISRAEL AIRLINES,2025-07-03T19:55:00,2025-07-03T19:55:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,2367,EL AL ISRAEL AIRLINES,2025-07-03T20:00:00,2025-07-03T20:00:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,78-99,D,ON TIME,בזמן
IZ,054,ARKIA  ISRAELI  AIRLINES,2025-07-03T20:05:00,2025-07-03T20:05:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,NOT FINAL,לא סופי
IZ,993,ARKIA  ISRAELI  AIRLINES,2025-07-03T20:10:00,2025-07-03T20:10:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,34-42,B,ON TIME,בזמן
LY,612,EL AL ISRAEL AIRLINES,2025-07-03T20:10:00,2025-07-03T20:10:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
WZ,4318,RED WINGS AIRLINES,2025-07-03T20:15:00,2025-07-03T20:15:00,D,MRV,MINERALNYE VODY,מינראל וודי,MINERALNYE VODY,רוסיה,RUSSIAN FEDERATION,3,21-23,A,ON TIME,בזמן
IZ,827,ARKIA  ISRAELI  AIRLINES,2025-07-03T20:20:00,2025-07-03T20:20:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,3,G20-G25,G,ON TIME,בזמן
LY,5133,EL AL ISRAEL AIRLINES,2025-07-03T20:30:00,2025-07-03T20:30:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,78-99,D,ON TIME,בזמן
LY,5247,EL AL ISRAEL AIRLINES,2025-07-03T20:40:00,2025-07-03T20:40:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,78-99,D,ON TIME,בזמן
AM,7862,AERO MEXICO,2025-07-03T20:55:00,2025-07-03T20:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,324,EL AL ISRAEL AIRLINES,2025-07-03T20:55:00,2025-07-03T20:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3160,SAS,2025-07-03T20:55:00,2025-07-03T20:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
U8,313,TUS AIRWAYS,2025-07-03T20:55:00,2025-07-03T20:55:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
